node_id,partner_status,partner_id,partner_candidate_ids,signature_without_dual_equal,stored_edges_between_pair,semantic_op_dual_edges,involution_test,self_duality
99,UNIQUE_SIGNATURE_PARTNER,97,"[""97""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
100,UNIQUE_SIGNATURE_PARTNER,98,"[""98""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
105,UNIQUE_SIGNATURE_PARTNER,103,"[""103""]",true,"[{""id"":""7753"",""source_id"":""103"",""target_id"":""105"",""operator"":""snapshot_v6:0055"",""paths"":7,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""D"",""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""D"",""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7942"",""source_id"":""105"",""target_id"":""103"",""operator"":""snapshot_v6:0288"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""D"",""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""D"",""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
107,UNIQUE_SIGNATURE_PARTNER,104,"[""104""]",true,"[{""id"":""7756"",""source_id"":""104"",""target_id"":""107"",""operator"":""snapshot_v6:0059"",""paths"":7,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""N"",""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""N"",""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7948"",""source_id"":""107"",""target_id"":""104"",""operator"":""snapshot_v6:0298"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""N"",""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""N"",""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
113,UNIQUE_SIGNATURE_PARTNER,109,"[""109""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
114,UNIQUE_SIGNATURE_PARTNER,110,"[""110""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
117,UNIQUE_SIGNATURE_PARTNER,111,"[""111""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
118,UNIQUE_SIGNATURE_PARTNER,112,"[""112""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
122,UNIQUE_SIGNATURE_PARTNER,121,"[""121""]",true,"[{""id"":""7741"",""source_id"":""121"",""target_id"":""122"",""operator"":""snapshot_v6:0039"",""paths"":11,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7918"",""source_id"":""122"",""target_id"":""121"",""operator"":""snapshot_v6:0248"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""8224"",""source_id"":""122"",""target_id"":""121"",""operator"":""snapshot_v6:0665"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
126,UNIQUE_SIGNATURE_PARTNER,124,"[""124""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
