rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
21,65,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,2,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""61""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅""]","[""∅"",""S+a""]"
22,289,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,2,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""286""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅""]","[""∅"",""S+a""]"
23,290,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,2,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""286""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅""]","[""∅"",""S+a""]"
24,72,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""66""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a""]"
25,73,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""66""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a""]"
26,74,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""67""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a""]"
27,75,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""67""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a""]"
28,223,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""220""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅""]","[""∅"",""S+a""]"
29,224,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""220""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅""]","[""∅"",""S+a""]"
30,229,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""225""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a""]"
